task,mode,agent,steps,total_reward,oracle_score,coverage,success,partial_success,compromise_detected,phase,failure_reason,counterfactual_gain_diff,counterfactual_reward,efficiency_reward,regret,regret_penalty,had_checkpoints,phase_gating_violations,total_noisy_observations,noise_rate,matched_trajectory,valid_path_count,trajectory_diversity_bonus,path_frequency,contextual_bonus_scale
easy,noisy,heuristic,6,10.62536649280181,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7657095229651653,0.038285476148258266,1,0,3,0.5,alternative_2,4,0.00429047703483472,0.6911764705882353,0.1716190813933888
easy,noisy,heuristic,6,10.64866055429729,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.745541504354359,0.03727707521771795,1,0,2,0.3333333333333333,alternative_1,4,0.024458495645641093,0.014492753623188406,0.9783398258256436
easy,noisy,heuristic,6,10.625498544915102,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7655951921311462,0.038279759606557315,1,0,4,0.6666666666666666,alternative_2,4,0.004404807868853763,0.6857142857142857,0.17619231475415054
easy,noisy,heuristic,6,10.625391440755369,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7656879230053747,0.03828439615026874,1,0,2,0.3333333333333333,alternative_2,4,0.004312076994625364,0.6901408450704225,0.17248307978501454
easy,noisy,heuristic,6,10.62528804251656,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7657774452900568,0.03828887226450284,1,0,6,1.0,alternative_2,4,0.004222554709943218,0.6944444444444444,0.16890218839772872
easy,noisy,heuristic,6,10.625188173130297,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7658639122911494,0.03829319561455747,1,0,4,0.6666666666666666,alternative_2,4,0.004136087708850679,0.6986301369863014,0.16544350835402713
easy,noisy,heuristic,6,10.64812332922721,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7460066342851641,0.03730033171425821,1,0,3,0.5,alternative_1,4,0.023993365714835933,0.02702702702702703,0.9597346285934373
easy,noisy,heuristic,6,10.625314668780318,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7657543922478419,0.0382877196123921,1,0,2,0.3333333333333333,alternative_2,4,0.004245607752158127,0.6933333333333334,0.16982431008632506
easy,noisy,heuristic,6,11.197910991826575,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,1,0.16666666666666666,primary,4,0.0,0.0,0.0
easy,noisy,heuristic,6,11.197910991826575,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,2,0.3333333333333333,primary,4,0.0,0.0,0.0
easy,noisy,heuristic,6,10.625650494929289,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7654636336773053,0.038273181683865266,1,0,4,0.6666666666666666,alternative_2,4,0.004536366322694694,0.6794871794871795,0.18145465290778776
easy,noisy,heuristic,6,10.64765692859487,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7464104443564558,0.03732052221782279,1,0,2,0.3333333333333333,alternative_1,4,0.023589555643544296,0.0379746835443038,0.9435822257417718
